time_tick,accr_X_value,accr_Y_value,accr_Z_value
25.171064,2.944179,3.943594,0.000000
25.204428,2.900056,3.934810,0.000000
25.237734,2.949499,4.026460,0.000000
25.271117,2.969635,4.051846,0.000000
25.304449,2.971841,4.002973,0.000000
25.337721,3.017221,3.996563,0.000000
25.371049,3.018935,3.991351,0.000000
25.404408,3.008102,3.954104,0.000000
25.437721,3.045450,3.968077,0.000000
25.471052,3.039651,4.045069,0.000000
25.504420,3.050463,4.006442,0.000000
25.537721,3.009789,3.994189,0.000000
25.571066,2.970461,4.029357,0.000000
25.604376,2.949977,4.086017,0.000000
25.637722,2.895350,4.000122,0.000000
25.670825,2.922834,3.900434,0.000000
25.703960,3.074710,4.139628,0.000000
25.737721,3.149508,4.037182,0.000000
25.771072,3.068030,3.832424,0.000000
25.804379,2.993964,3.986022,0.000000
25.837798,3.042977,4.107549,0.000000
25.871086,2.895712,4.113839,0.000000
25.904388,2.918552,3.957993,0.000000
25.937721,3.029091,4.002381,0.000000
25.971111,3.027732,3.970692,0.000000
26.004387,3.065879,3.985476,0.000000
26.037793,3.000425,3.968478,0.000000
26.071064,3.045873,3.965837,0.000000
26.104390,3.091260,3.954507,0.000000
26.137741,3.075004,3.915450,0.000000
26.171129,3.080714,3.954943,0.000000
26.204522,2.993568,3.981709,0.000000
26.237763,2.914283,4.027499,0.000000
26.270694,2.936358,4.066559,0.000000
26.304388,2.947320,4.028267,0.000000
26.337727,3.008915,3.996838,0.000000
26.371098,3.035799,3.994629,0.000000
26.404386,3.101655,3.986794,0.000000
26.437720,3.045805,3.992498,0.000000
26.471060,3.033675,3.998075,0.000000
26.504385,3.004120,3.998921,0.000000
26.537720,2.996081,3.997315,0.000000
26.571053,2.964061,3.985129,0.000000
26.604396,2.992728,3.932020,0.000000
26.637722,3.013607,3.983768,0.000000
26.671137,3.069588,4.036055,0.000000
26.704391,3.008341,4.000756,0.000000
26.737865,3.025936,3.941666,0.000000
26.771128,3.013573,4.042661,0.000000
26.804404,3.028832,4.085347,0.000000
26.837798,3.021612,4.009426,0.000000
26.871047,2.973951,3.961432,0.000000
26.904420,2.985180,4.008614,0.000000
26.937724,3.047116,4.019968,0.000000
26.971058,2.980952,3.944936,0.000000
27.004407,3.010677,3.919393,0.000000
27.037641,2.910649,3.977392,0.000000
27.071077,2.948167,4.003115,0.000000
27.104456,2.997543,4.035170,0.000000
27.137714,2.985815,3.954210,0.000000
27.171101,3.037534,3.921450,0.000000
27.204402,3.078494,4.015556,0.000000
27.237791,3.024174,3.999485,0.000000
27.271059,2.975836,3.994693,0.000000
27.304449,2.988937,3.996241,0.000000
27.337729,2.973938,3.964491,0.000000
27.371055,2.972292,4.014317,0.000000
27.404401,3.023525,4.018766,0.000000
27.437798,3.010001,3.985282,0.000000
27.471053,3.008177,3.977197,0.000000
27.504387,2.978159,3.995641,0.000000
27.537036,2.986082,4.028810,0.000000
27.570150,2.973419,3.981029,0.000000
27.604387,3.015882,3.978879,0.000000
27.637721,3.002167,3.964118,0.000000
27.671123,3.035300,3.918527,0.000000
27.704235,3.011634,4.045100,0.000000
27.737781,3.003294,4.090451,0.000000
27.771059,2.915171,3.996079,0.000000
27.804463,2.852374,4.010675,0.000000
27.837735,2.971895,4.064940,0.000000
27.871210,3.081424,3.928375,0.000000
27.904388,3.109326,3.875327,0.000000
27.937723,3.066569,3.954211,0.000000
27.971195,2.960872,4.000876,0.000000
28.004410,2.965099,4.027140,0.000000
28.037721,2.920567,3.967015,0.000000
28.071056,2.993315,3.977944,0.000000
28.104423,3.032199,3.983506,0.000000
28.137737,3.030690,3.977119,0.000000
28.170886,3.128484,4.005587,0.000000
28.204390,3.019413,4.010337,0.000000
28.236956,2.952436,3.987212,0.000000
28.271056,2.975222,4.016410,0.000000
28.304394,2.923483,3.993002,0.000000
28.336941,2.935292,3.995671,0.000000
28.371047,2.979013,4.038038,0.000000
28.404391,3.003519,3.988578,0.000000
28.437715,3.033429,4.025975,0.000000
28.471127,2.974641,3.965023,0.000000
28.504390,3.003185,3.918090,0.000000
28.537730,2.961070,4.090546,0.000000
28.571054,2.992898,4.073709,0.000000
28.604387,2.973453,3.957960,0.000000
28.637775,2.976670,3.951294,0.000000
28.671099,3.002515,4.062175,0.000000
28.704387,3.029501,4.089766,0.000000
28.737784,3.036045,3.996713,0.000000
28.771069,3.017999,3.960546,0.000000
28.804384,2.987830,3.947202,0.000000
28.837741,3.022664,3.981960,0.000000
28.871113,3.026940,3.997611,0.000000
28.904380,2.969211,3.979442,0.000000
28.937747,2.987257,3.985807,0.000000
28.971054,2.959608,4.009751,0.000000
29.004460,3.011312,4.024063,0.000000
29.037735,2.992816,4.015351,0.000000
29.071093,3.010117,4.000550,0.000000
29.104401,3.008095,4.005729,0.000000
29.137724,2.985665,4.004112,0.000000
29.171085,2.943229,3.953607,0.000000
29.204412,2.976581,3.978951,0.000000
29.237762,3.005309,3.979289,0.000000
29.271059,3.043209,3.978915,0.000000
29.304427,3.043961,3.937325,0.000000
29.337715,3.029774,3.975924,0.000000
29.371089,3.006647,4.016771,0.000000
29.404383,2.980952,4.051750,0.000000
29.437717,2.958092,3.954547,0.000000
29.471125,2.970782,3.985563,0.000000
29.504407,3.075564,4.031754,0.000000
29.537206,3.046850,4.014217,0.000000
29.571051,3.045784,3.996142,0.000000
29.604414,3.026414,3.988395,0.000000
29.637739,2.984900,3.993842,0.000000
29.671064,2.996942,4.017820,0.000000
29.704395,2.937191,3.975777,0.000000
29.737732,2.941487,3.928904,0.000000
29.771072,3.004223,4.006429,0.000000
29.804394,3.002099,3.969593,0.000000
29.837733,3.010247,3.983676,0.000000
29.871049,2.998158,4.007298,0.000000
29.904478,2.950080,3.982817,0.000000
29.937729,2.965694,4.001632,0.000000
29.971044,3.001764,3.950883,0.000000
30.004401,2.984927,3.972851,0.000000
30.037730,2.997898,4.003656,0.000000
30.071048,3.012180,4.011877,0.000000
30.104398,3.018484,3.928039,0.000000
30.137732,3.025082,4.011488,0.000000
30.171050,3.009462,3.947108,0.000000
30.204402,2.912568,3.977776,0.000000
30.237790,3.001689,4.025733,0.000000
30.271060,2.977421,4.076995,0.000000
30.304395,2.941187,3.962026,0.000000
30.337769,2.978534,3.997858,0.000000
30.371053,3.037090,3.993701,0.000000
30.404398,2.967258,3.961902,0.000000
30.437729,3.017118,3.992235,0.000000
30.471053,3.039562,4.039198,0.000000
30.504389,2.982107,3.997035,0.000000
30.537715,2.995425,4.021945,0.000000
30.571052,2.958761,4.030541,0.000000
30.604404,2.914986,3.967295,0.000000
30.637724,2.999086,4.029108,0.000000
30.671062,3.008505,3.961875,0.000000
30.704391,2.935320,3.994015,0.000000
30.737729,2.974218,4.027951,0.000000
30.771093,3.024590,4.015655,0.000000
30.804385,2.963467,3.996853,0.000000
30.837755,2.998882,3.997023,0.000000
30.871049,2.997563,4.008961,0.000000
30.904387,3.005480,3.980252,0.000000
30.937788,2.984647,4.015042,0.000000
30.971069,2.953433,3.986927,0.000000
31.004384,2.913313,3.993422,0.000000
31.037776,2.980959,3.980604,0.000000
31.071062,2.967633,3.987791,0.000000
31.104421,3.008273,4.007016,0.000000
31.137730,2.990487,3.950606,0.000000
31.171123,2.923941,3.943008,0.000000
31.204451,2.960749,4.053179,0.000000
31.237725,2.933564,4.168815,0.000000
31.271057,2.932233,4.027909,0.000000
31.304398,2.948987,3.928787,0.000000
31.337794,2.969532,4.038008,0.000000
31.371069,3.023812,3.978465,0.000000
31.404484,2.998656,3.991262,0.000000
31.437714,2.970406,3.970148,0.000000
31.471107,2.854819,3.962918,0.000000
31.504376,2.897105,4.020291,0.000000
31.537715,2.873261,4.024133,0.000000
31.571067,2.889421,3.985408,0.000000
31.604407,2.932765,4.007155,0.000000
31.637730,2.949410,3.888506,0.000000
31.671061,3.041775,4.016833,0.000000
31.704443,3.039733,4.021398,0.000000
31.737904,2.950046,3.898349,0.000000
31.771121,2.969607,3.967003,0.000000
31.804388,3.007023,4.011188,0.000000
31.837724,2.907241,3.938556,0.000000
31.871058,3.048865,3.927494,0.000000
31.903474,3.198029,3.993803,0.000000
31.937820,3.140205,3.898028,0.000000
31.971003,3.151564,3.988727,0.000000
32.004395,3.009079,3.930638,0.000000
32.037796,2.889920,3.967300,0.000000
32.071051,2.842477,4.092771,0.000000
32.104399,2.898293,4.054945,0.000000
32.137725,2.884667,4.009635,0.000000
32.171074,2.913887,4.034118,0.000000
32.204390,2.909659,4.028420,0.000000
32.237720,2.925266,3.956007,0.000000
32.270674,2.896422,3.958600,0.000000
32.303633,2.869962,4.014401,0.000000
32.337719,2.926666,4.036698,0.000000
32.371103,2.913354,3.952864,0.000000
32.404389,2.998745,3.928051,0.000000
32.438028,2.958966,3.926348,0.000000
32.471067,2.922281,3.914561,0.000000
32.504400,2.884319,3.941543,0.000000
32.537872,2.857599,3.888811,0.000000
32.570352,2.879756,3.924380,0.000000
32.604392,2.956452,4.050214,0.000000
32.637781,3.035498,4.066055,0.000000
32.671071,3.079191,4.049999,0.000000
32.704389,2.969676,4.035510,0.000000
32.737725,2.909570,3.984969,0.000000
32.771126,2.927287,4.012831,0.000000
32.804413,2.882727,3.971924,0.000000
32.837790,2.900363,3.949301,0.000000
32.871050,2.864580,4.126677,0.000000
32.904468,2.844027,4.098853,0.000000
32.937727,2.845592,4.012613,0.000000
32.971047,2.842573,4.020569,0.000000
33.004423,2.973152,4.108320,0.000000
33.037141,2.899209,4.054259,0.000000
33.070329,2.873001,4.052388,0.000000
33.104403,2.850045,4.091100,0.000000
33.137710,2.912514,4.054263,0.000000
33.171054,2.964628,4.073145,0.000000
33.204393,2.961063,4.098381,0.000000
33.237719,2.971663,4.128810,0.000000
33.271123,2.926946,4.116916,0.000000
33.304442,2.850380,4.037446,0.000000
33.337726,2.889762,4.014874,0.000000
33.371070,2.881443,4.031585,0.000000
33.404390,2.868336,4.083449,0.000000
33.437723,2.855133,4.046556,0.000000
33.471075,2.915396,4.044390,0.000000
33.504401,2.878035,4.036458,0.000000
33.537727,2.938694,4.153065,0.000000
33.571055,2.948734,3.997627,0.000000
33.604429,2.930634,3.968756,0.000000
33.637714,2.921407,4.093377,0.000000
33.671086,2.969204,4.023808,0.000000
33.704447,2.892884,4.023348,0.000000
33.737853,2.884565,4.147060,0.000000
33.771080,2.930429,4.087981,0.000000
33.804395,2.873705,4.010654,0.000000
33.837721,2.920867,4.001253,0.000000
33.871053,2.879708,4.013612,0.000000
33.904396,2.842989,4.108671,0.000000
33.937781,2.928879,4.166826,0.000000
33.971051,2.923422,4.023116,0.000000
34.004386,2.914706,3.996923,0.000000
34.037793,2.914358,4.087028,0.000000
34.071057,2.937560,4.110719,0.000000
34.104409,2.888608,4.058193,0.000000
34.137720,2.908750,4.038703,0.000000
34.171312,2.869422,4.039086,0.000000
34.204431,2.930129,4.053385,0.000000
34.237129,2.938393,4.088717,0.000000
34.270310,2.861725,4.042027,0.000000
34.304389,2.876881,4.038024,0.000000
34.337723,2.969389,4.026137,0.000000
34.371123,2.894161,3.859878,0.000000
34.404450,3.080864,3.892759,0.000000
34.437719,3.084184,4.156699,0.000000
34.471100,3.102311,4.212945,0.000000
34.504393,2.921461,4.221324,0.000000
34.537732,2.813073,4.089630,0.000000
34.571168,2.813585,3.964251,0.000000
34.604387,2.731145,4.036183,0.000000
34.637743,2.839383,4.012485,0.000000
34.671053,2.926236,4.046715,0.000000
34.704404,3.078610,4.028774,0.000000
34.737735,3.258224,4.030521,0.000000
34.771081,3.256687,4.074974,0.000000
34.804385,3.236033,4.019252,0.000000
34.837721,3.054575,4.027991,0.000000
34.871061,2.882181,3.984789,0.000000
34.904379,2.740407,4.023444,0.000000
34.937791,2.691755,4.046244,0.000000
34.971060,2.744300,3.980091,0.000000
35.004463,2.953235,4.066026,0.000000
35.037758,3.193289,4.169144,0.000000
35.071064,3.297859,4.151410,0.000000
35.104385,3.066371,3.967877,0.000000
35.137715,2.910779,3.958047,0.000000
35.171126,2.936256,4.052335,0.000000
35.204385,2.997625,4.004387,0.000000
35.237740,3.009140,4.117793,0.000000
35.271124,3.004947,4.092016,0.000000
35.304402,3.012364,4.003633,0.000000
35.337781,2.969635,4.044484,0.000000
35.371068,2.887993,4.037800,0.000000
35.404462,2.839472,4.041353,0.000000
